ssc_cgpa,hsc_cgpa,btech_cgpa,work_exp,dsa_score,aptitude_score,coding_rating,sentiment_score,skill_stack_impact,selected
9.07,6.35,8.02,0,4,3,1,0.18,5,0
6.25,9.96,7.29,0,2,4,1,-0.5,9,0
7.65,7.4,9.72,1,2,5,3,-0.23,3,1
9.71,8.89,6.19,0,8,9,5,-0.25,5,1
8.54,9.63,7.26,1,10,9,2,0.16,3,1
8.5,8.16,7.75,1,1,9,1,0.08,5,0
6.47,9.76,8.51,1,8,10,4,0.43,4,1
8.97,8.29,9.99,0,9,1,5,0.62,4,1
9.51,7.37,9.29,0,4,8,4,0.7,5,1
7.95,7.64,9.09,0,3,3,4,-0.12,5,1
7.69,7.15,8.46,0,10,8,2,-0.47,4,1
9.68,9.16,6.09,0,10,1,4,-0.4,3,1
9.7,7.8,6.45,0,5,10,4,0.88,6,1
8.08,8.37,7.6,0,9,5,1,0.68,10,1
8.15,9.68,7.39,0,2,2,3,-0.16,3,0
6.99,8.31,6.66,0,5,8,1,0.37,6,0
8.06,9.9,7.84,0,4,6,4,-0.22,7,1
8.38,6.27,9.0,0,8,3,5,0.07,8,1
8.86,8.11,8.14,0,1,2,3,-0.23,7,1
9.78,7.49,7.08,1,2,1,4,0.8,8,1
6.08,6.42,9.2,0,3,3,1,0.58,3,0
6.97,8.89,9.42,0,4,4,5,0.11,7,1
9.57,9.27,7.37,0,10,2,3,-0.1,5,1
7.38,9.1,7.45,1,5,3,4,0.67,1,1
9.58,9.2,7.7,0,3,1,1,0.45,7,1
6.87,8.58,7.69,0,10,10,5,-0.09,6,1
8.22,8.61,9.32,0,7,5,2,-0.1,6,1
8.93,7.0,8.53,1,5,7,2,0.13,10,1
9.83,6.74,6.36,0,3,10,5,-0.07,4,0
8.88,7.19,8.27,0,2,7,5,-0.1,4,1
9.39,9.82,6.62,0,9,10,2,-0.39,1,1
7.65,8.82,8.39,1,9,7,3,0.7,3,1
7.44,6.37,9.67,0,1,10,1,-0.22,8,0
9.03,8.56,9.04,1,5,6,1,0.47,10,1
6.18,8.35,10.0,0,10,5,2,-0.32,7,1
7.19,9.7,9.88,1,7,2,4,-0.02,10,1
7.46,8.24,7.92,0,3,5,3,0.59,7,1
7.26,8.16,9.16,1,9,2,1,0.42,2,1
9.2,9.99,7.4,0,1,5,4,0.81,9,1
9.07,7.67,7.69,0,5,1,1,0.03,2,0
6.17,6.07,9.95,0,9,1,1,-0.17,10,1
9.19,7.04,8.35,1,7,8,3,0.98,7,1
8.43,8.05,6.92,0,2,9,2,0.94,8,1
7.4,6.23,9.88,0,1,9,3,0.29,10,1
9.99,9.59,7.85,1,8,9,1,0.79,9,1
7.56,7.09,7.91,1,3,9,2,0.71,8,1
7.13,7.01,6.02,0,5,10,2,-0.17,5,0
9.97,6.25,9.53,0,3,10,3,0.52,1,1
8.63,9.4,9.47,0,9,9,5,0.43,6,1
6.76,9.53,9.85,0,9,3,2,0.0,7,1
9.33,8.03,6.03,0,1,9,1,0.07,8,0
9.27,6.51,7.13,1,7,10,1,0.01,5,1
7.2,8.83,6.27,0,10,6,1,-0.39,2,1
9.49,9.89,9.88,1,4,3,4,-0.46,1,1
9.08,8.73,7.78,0,2,4,1,0.78,7,0
9.3,7.19,9.36,0,4,6,3,0.93,8,1
7.68,8.55,7.59,0,9,5,3,-0.02,6,1
6.92,6.85,6.12,0,9,8,4,0.21,8,1
6.36,6.61,7.81,1,2,4,3,-0.06,8,1
9.68,8.47,9.19,0,9,7,1,-0.13,9,1
6.26,8.33,7.08,1,8,8,3,-0.28,5,1
6.29,7.57,7.92,1,6,9,1,0.86,6,1
6.41,8.28,6.07,1,6,6,4,0.34,2,1
7.31,8.07,6.35,0,1,4,2,-0.3,7,0
9.29,6.16,8.68,0,8,3,3,0.9,7,1
8.45,7.2,9.74,1,8,2,4,0.01,7,1
8.39,9.14,7.92,1,9,10,3,0.39,9,1
9.49,6.88,9.9,1,4,8,5,0.49,3,1
8.17,7.97,6.33,0,3,3,5,-0.45,1,0
9.36,6.7,9.84,0,10,8,4,0.6,4,1
8.06,8.35,6.12,0,2,4,2,0.69,7,0
7.11,8.37,9.65,1,3,2,5,-0.3,8,1
8.53,7.49,8.05,0,5,5,5,-0.35,8,1
8.32,8.65,6.38,0,1,9,1,0.79,5,0
6.52,9.88,7.82,0,10,3,2,0.5,9,1
7.72,6.99,8.47,0,1,9,4,0.41,5,1
8.82,7.79,9.46,1,6,4,2,-0.32,5,1
9.75,6.16,6.49,0,6,5,5,-0.35,3,1
7.82,8.06,7.96,0,6,4,5,0.91,7,1
6.65,6.75,8.92,0,6,5,2,0.97,10,1
9.07,6.45,9.18,0,4,1,1,0.49,5,1
8.67,8.31,7.39,1,2,2,1,0.99,9,1
6.44,8.6,9.06,1,4,6,3,0.64,9,1
7.27,9.48,7.5,0,6,7,1,0.45,10,1
7.55,7.79,6.95,0,1,3,4,0.38,8,1
8.67,8.48,7.85,1,3,5,2,0.77,5,1
6.98,7.91,7.58,1,7,6,2,0.28,5,1
6.78,6.03,8.59,0,9,4,3,-0.2,6,1
8.47,8.09,8.68,0,3,8,2,0.57,1,0
9.91,9.29,8.09,0,7,10,5,-0.06,1,1
9.85,7.93,9.22,0,1,8,5,0.93,7,1
8.55,8.06,8.37,0,10,9,2,0.04,10,1
6.95,9.12,7.1,0,3,4,4,0.71,3,1
8.5,7.81,8.35,1,1,3,4,-0.17,1,1
6.92,6.82,8.55,1,9,9,1,-0.3,5,1
8.7,7.77,7.78,1,9,1,3,-0.31,3,1
9.62,9.09,7.06,0,5,1,4,-0.01,6,1
7.42,6.28,8.08,0,2,5,4,0.31,6,1
6.92,7.83,6.76,0,2,7,4,0.34,2,0
7.79,7.33,8.32,0,10,4,5,0.54,9,1
7.69,9.29,6.0,1,8,4,3,-0.15,3,1
6.61,9.97,9.71,0,1,9,5,-0.11,8,1
9.3,9.13,8.83,0,4,1,2,0.07,2,1
9.75,8.22,7.22,0,4,7,2,0.27,3,0
8.27,7.56,8.0,0,1,10,2,0.51,10,1
9.47,9.22,9.16,0,4,9,5,-0.27,3,1
8.56,9.29,6.53,0,6,1,4,-0.29,6,1
9.32,7.27,9.81,0,6,9,5,-0.4,2,1
6.32,9.11,6.49,0,4,2,5,0.46,2,1
8.6,6.61,6.25,0,3,2,2,0.23,2,0
9.93,6.96,6.57,0,9,3,4,0.45,8,1
9.26,8.46,7.23,1,4,4,4,0.59,5,1
6.78,7.47,7.66,1,7,5,5,-0.48,2,1
6.54,7.67,9.16,0,5,10,2,0.43,5,1
6.8,6.26,6.17,0,1,3,1,0.18,4,0
7.06,6.6,6.51,0,2,4,4,0.72,4,0
9.82,6.53,6.41,0,8,9,1,0.16,1,0
9.36,6.15,9.61,0,5,7,2,0.18,1,1
8.07,6.6,8.95,0,1,7,5,-0.44,7,1
8.87,6.29,6.29,0,8,1,5,0.08,4,1
8.65,6.74,6.7,0,5,5,2,-0.38,1,0
7.18,9.08,8.5,0,2,2,3,0.42,9,1
6.17,9.87,9.19,0,8,2,5,0.62,2,1
6.51,7.35,9.71,0,7,9,1,0.33,10,1
6.96,6.49,6.79,0,1,8,5,0.72,7,1
9.52,7.03,8.18,0,5,5,4,-0.02,6,1
9.27,6.85,8.02,1,8,6,3,0.62,3,1
7.19,8.26,8.76,0,7,9,5,0.19,8,1
9.97,6.4,7.61,0,10,2,3,0.61,7,1
8.46,8.75,7.5,0,9,4,4,0.64,6,1
8.71,9.03,9.37,1,6,8,3,0.05,4,1
8.89,9.54,8.37,0,5,6,5,-0.23,10,1
9.18,6.37,8.35,0,4,3,5,0.34,4,1
6.21,7.95,8.4,0,3,3,1,-0.28,8,1
8.83,9.15,8.07,0,4,7,1,-0.37,4,0
6.25,9.21,9.07,0,9,6,5,0.46,4,1
7.64,9.36,7.54,0,9,10,5,0.04,2,1
6.66,8.8,8.34,1,6,6,1,0.67,3,1
9.49,9.37,6.74,1,1,5,2,0.56,10,1
6.32,8.91,7.99,0,1,8,1,-0.41,9,0
9.83,6.28,6.23,0,6,7,3,0.68,10,1
7.09,9.04,7.8,1,6,9,5,-0.43,2,1
7.39,9.6,6.09,0,8,4,5,0.13,9,1
7.98,9.92,6.58,0,7,10,5,0.2,9,1
6.36,8.74,8.18,1,8,2,4,-0.4,6,1
8.2,8.45,6.9,0,2,1,2,0.92,9,1
7.65,8.6,8.18,0,8,8,4,0.97,3,1
9.15,6.81,7.03,1,4,10,4,0.28,8,1
6.65,7.02,9.79,1,8,10,4,-0.46,9,1
6.38,7.37,7.13,0,10,4,3,0.49,9,1
7.76,6.78,6.75,1,8,8,4,0.37,5,1
7.25,8.57,6.78,0,8,2,2,0.34,2,1
9.62,7.11,9.93,1,1,1,5,0.73,5,1
7.76,8.46,6.33,0,9,7,1,0.98,5,1
9.99,9.92,8.62,0,5,9,3,0.58,2,1
6.84,7.52,9.89,0,9,4,2,0.64,9,1
7.84,7.43,7.98,0,3,10,5,-0.37,1,1
6.96,6.57,7.39,0,2,10,3,0.43,6,1
9.37,7.02,6.12,0,2,2,3,-0.4,7,0
6.67,8.62,9.97,0,7,7,3,0.27,6,1
9.05,7.63,9.04,1,4,1,1,0.5,2,1
8.6,9.5,6.0,0,2,8,4,-0.31,3,0
8.96,9.67,7.12,1,9,3,3,0.55,4,1
9.93,8.49,8.24,0,7,9,4,0.17,8,1
6.39,6.97,6.05,1,8,4,1,-0.39,9,1
7.2,8.97,6.19,0,4,8,2,0.39,9,1
7.14,7.72,7.07,0,2,5,5,0.75,3,1
7.95,8.95,8.1,1,9,4,3,0.82,1,1
7.36,6.66,6.68,1,5,3,4,0.46,7,1
8.05,6.42,7.54,1,3,6,4,0.4,7,1
6.01,6.16,8.42,0,8,3,4,0.18,1,1
8.49,7.88,7.79,0,4,8,1,-0.49,1,0
9.21,8.29,8.05,1,6,9,1,-0.07,1,1
6.46,7.38,8.03,0,9,7,5,-0.43,1,1
9.53,8.68,7.03,1,1,10,4,-0.5,7,1
8.87,9.32,6.16,0,4,2,2,0.08,4,0
7.68,9.0,6.28,1,10,3,1,0.5,9,1
8.59,9.55,8.39,0,2,3,1,0.81,4,1
8.12,9.32,9.97,0,2,1,1,-0.06,1,0
6.34,7.6,9.64,0,1,9,1,0.08,2,0
8.17,9.45,8.36,1,2,3,3,0.87,7,1
7.28,8.33,7.48,0,9,6,4,0.29,2,1
6.57,9.56,7.38,0,4,3,5,0.07,3,1
7.36,6.29,7.64,0,1,1,5,0.76,8,1
8.75,6.56,7.94,0,8,8,3,-0.3,10,1
6.16,6.12,7.55,0,10,3,2,-0.28,5,1
6.46,9.82,7.26,1,7,6,4,0.32,4,1
6.12,9.88,9.09,0,5,5,1,0.31,6,1
7.42,9.31,8.84,0,10,1,5,-0.09,7,1
8.18,6.66,8.33,0,3,2,3,0.67,3,1
8.28,8.48,6.81,1,5,8,4,0.57,6,1
6.91,9.86,9.64,1,6,6,5,0.32,5,1
9.51,9.78,6.6,0,3,10,4,0.8,7,1
7.5,7.14,6.81,0,8,7,3,0.24,2,1
7.82,7.77,8.41,0,4,7,5,0.99,8,1
9.42,7.76,9.39,0,8,3,3,0.27,7,1
8.75,8.89,8.77,1,10,5,4,-0.08,8,1
8.11,9.17,9.96,1,2,8,2,-0.06,7,1
8.53,6.28,6.02,0,8,5,4,0.65,4,1
8.8,6.42,7.6,0,2,4,3,-0.33,2,0
6.45,9.37,6.97,1,6,2,2,0.5,2,1
7.12,9.21,9.72,0,7,6,5,0.76,1,1
8.41,7.43,8.59,0,6,1,2,0.44,4,1
8.55,8.11,7.85,0,4,5,4,0.66,2,1
9.53,9.3,8.89,0,9,1,1,0.27,10,1
8.86,8.37,9.58,0,8,2,1,0.91,9,1
9.37,7.25,9.16,0,3,3,1,0.9,3,1
6.36,8.75,7.98,0,1,9,2,-0.12,5,0
7.19,6.42,9.13,0,5,10,1,0.94,9,1
7.9,6.44,8.54,1,3,9,4,-0.22,5,1
6.85,8.63,7.89,1,8,6,1,0.63,2,1
7.58,9.72,6.5,0,3,6,4,0.52,6,1
7.15,7.47,6.23,0,6,6,2,-0.35,10,1
6.06,7.52,7.35,1,6,1,4,-0.45,3,1
8.38,6.04,7.86,0,4,10,4,0.64,7,1
9.1,9.09,8.09,0,10,6,5,0.07,9,1
6.07,7.17,9.09,0,10,7,4,0.36,5,1
8.59,9.9,9.39,0,9,8,1,-0.06,6,1
8.41,7.89,6.24,1,10,4,2,-0.14,8,1
9.97,8.18,9.85,0,6,9,1,-0.21,10,1
9.93,8.11,9.63,0,1,1,4,0.59,9,1
9.56,8.83,6.25,0,1,2,5,-0.15,8,1
8.0,8.72,6.3,0,6,6,2,-0.23,3,0
6.66,7.78,6.84,1,1,1,3,0.78,6,1
7.99,7.63,9.81,1,9,5,1,-0.24,6,1
8.49,9.92,6.76,1,3,2,1,0.28,2,0
9.42,9.09,7.24,0,1,7,1,0.35,6,0
9.42,8.41,9.34,1,4,5,4,-0.16,5,1
9.39,8.92,6.38,0,5,9,5,0.49,10,1
9.61,6.62,9.96,0,2,3,1,0.64,1,0
6.13,6.23,7.78,1,10,1,2,0.08,5,1
7.43,8.63,6.96,1,10,10,5,-0.46,9,1
7.13,9.8,8.33,0,8,3,5,0.64,3,1
6.58,7.72,9.62,0,10,8,5,0.67,10,1
6.82,7.02,7.18,0,7,9,3,0.91,5,1
7.84,6.38,9.31,1,4,2,5,0.48,3,1
6.18,7.16,9.72,0,5,9,1,-0.41,6,1
6.22,9.89,6.9,0,6,5,5,0.82,6,1
8.97,9.39,7.69,0,2,5,1,-0.09,9,0
7.48,9.61,9.23,0,7,8,5,-0.28,7,1
6.67,9.12,8.34,0,10,6,1,0.92,9,1
6.52,8.24,9.12,1,9,3,4,0.17,2,1
7.85,9.68,8.78,0,7,9,1,-0.42,9,1
7.38,7.34,9.91,1,3,1,1,0.34,7,1
7.93,8.03,7.55,0,4,2,1,0.76,8,1
9.19,8.46,9.37,0,7,4,3,0.56,1,1
9.45,6.72,9.2,0,3,3,4,0.82,9,1
6.63,7.24,7.16,0,8,6,3,-0.39,8,1
6.99,6.65,6.75,0,5,5,3,0.9,5,1
8.93,7.62,6.27,0,1,2,1,-0.0,2,0
9.93,9.14,8.93,1,7,7,3,0.4,4,1
7.11,7.11,7.73,0,9,8,2,0.97,2,1
8.82,7.69,7.39,0,7,3,2,0.61,2,1
7.15,8.63,9.87,0,7,7,3,0.93,9,1
8.49,8.59,7.07,0,2,6,3,0.35,9,1
8.83,8.44,7.25,0,4,2,5,-0.32,9,1
6.81,8.35,8.8,0,9,1,1,0.9,9,1
7.8,9.83,7.6,0,10,6,1,0.61,2,1
9.66,7.74,7.03,0,9,10,3,0.42,9,1
8.68,8.8,6.82,1,7,1,5,0.61,1,1
6.99,6.25,7.84,0,3,10,1,-0.38,7,0
9.35,9.22,9.29,0,8,3,2,-0.12,8,1
9.68,8.34,8.15,0,1,1,5,0.68,5,1
7.65,9.49,8.55,0,6,10,4,-0.28,2,1
7.78,6.09,7.2,0,7,6,4,-0.08,3,1
7.64,8.62,7.04,0,6,5,5,-0.22,5,1
9.31,7.78,9.22,0,1,4,4,0.27,7,1
7.02,8.97,6.31,0,8,9,5,0.87,5,1
8.02,9.76,9.51,1,5,9,3,0.02,9,1
9.44,8.71,9.35,0,7,3,1,-0.06,5,1
7.54,7.96,7.72,1,7,8,5,0.6,2,1
7.19,8.17,7.38,0,10,3,2,-0.34,4,1
7.24,6.67,6.97,0,3,6,4,0.98,9,1
7.66,7.72,8.16,0,10,8,2,0.25,3,1
6.09,9.78,8.79,0,5,7,2,-0.33,10,1
9.58,6.82,8.03,0,5,1,1,0.79,3,1
8.75,7.01,6.04,0,9,8,1,0.81,9,1
7.94,7.33,9.17,0,3,3,2,0.23,5,1
6.06,7.12,6.83,0,8,6,4,0.61,4,1
8.59,6.3,7.5,0,6,4,5,-0.02,3,1
8.43,8.83,7.5,1,4,10,3,0.07,2,1
8.65,7.94,6.02,0,2,8,1,0.14,10,0
9.21,8.07,6.56,1,5,3,4,-0.25,9,1
7.39,7.56,6.63,0,7,3,5,0.83,5,1
7.23,7.66,8.85,0,8,8,3,0.4,2,1
7.7,9.63,8.03,0,1,10,2,0.17,7,1
7.09,8.77,7.06,0,6,3,5,-0.1,5,1
8.78,6.87,8.38,1,6,10,5,0.67,7,1
6.6,6.87,7.86,1,6,6,5,-0.13,5,1
8.52,9.43,9.14,0,9,8,3,0.6,7,1
8.31,6.27,6.38,1,4,10,3,-0.14,1,0
9.84,9.57,9.4,0,6,5,3,-0.47,8,1
6.16,9.35,8.48,1,3,3,5,0.38,9,1
6.28,8.55,8.93,0,2,10,5,-0.16,3,1
7.49,8.47,8.53,1,5,3,5,0.47,1,1
7.84,9.76,8.02,0,2,7,2,0.89,5,1
9.9,6.28,8.22,0,1,7,4,-0.19,6,1
7.82,8.67,9.35,1,2,4,2,0.41,8,1
7.61,6.61,8.29,0,6,2,4,0.61,8,1
8.38,8.81,6.27,1,10,1,4,0.82,7,1
8.73,7.5,9.2,0,9,3,3,0.85,7,1
8.48,9.76,9.1,1,4,7,5,0.73,10,1
6.84,6.92,7.88,0,6,8,2,0.16,4,1
9.89,9.04,9.87,0,8,8,3,-0.05,8,1
7.42,8.7,6.25,0,5,10,4,0.01,8,1
6.62,6.33,7.94,0,7,5,2,-0.28,3,1
9.94,7.58,8.86,0,5,8,2,0.59,2,1
8.67,9.11,9.45,1,7,7,5,0.83,4,1
7.88,8.62,8.24,0,6,3,4,0.79,2,1
6.49,8.79,7.66,0,8,1,1,0.35,9,1
7.61,9.88,9.73,0,6,6,4,0.78,3,1
6.73,9.3,7.14,1,6,8,1,-0.12,10,1
8.23,9.38,9.18,0,4,9,1,0.28,4,1
7.0,7.05,6.0,0,10,2,1,0.63,6,1
6.8,7.18,6.95,0,7,8,3,0.86,7,1
6.03,9.09,8.81,0,7,2,2,0.56,2,1
6.68,6.12,6.82,0,7,1,3,0.87,10,1
9.09,6.49,8.51,1,1,9,4,0.99,3,1
7.34,7.86,9.09,0,9,9,3,0.07,8,1
6.8,6.22,8.27,0,1,1,2,0.35,7,0
7.27,9.0,7.72,0,8,9,1,0.02,1,1
7.33,7.18,6.17,0,7,1,3,-0.06,6,1
7.13,9.85,6.04,0,1,9,4,0.99,10,1
7.11,6.57,7.25,1,1,10,2,0.31,8,1
6.79,6.66,6.96,0,8,8,5,0.25,10,1
6.02,6.24,9.62,0,4,8,2,-0.06,3,1
7.61,9.54,9.58,0,7,4,1,0.59,3,1
7.37,7.72,9.32,0,6,5,5,-0.07,10,1
7.74,6.66,6.47,0,5,6,1,-0.17,7,0
8.63,9.73,9.28,0,6,8,3,0.34,4,1
8.31,7.86,6.47,1,6,5,1,0.68,8,1
6.13,8.63,8.13,0,7,10,5,-0.06,6,1
6.13,9.13,6.96,0,2,7,4,0.29,6,1
6.91,8.46,7.01,1,10,6,2,0.73,6,1
6.63,6.21,8.23,0,1,6,1,0.87,3,0
6.88,7.52,9.23,0,6,1,5,-0.47,5,1
8.13,6.13,7.9,0,4,6,3,0.96,1,1
9.71,9.38,6.9,0,7,3,3,0.54,3,1
7.61,9.33,9.26,1,1,7,3,0.17,4,1
7.65,8.7,8.63,0,4,8,3,0.86,4,1
9.52,8.23,6.93,1,8,9,5,-0.42,3,1
7.52,7.27,7.14,0,10,6,2,0.67,7,1
6.59,9.33,8.16,1,10,4,5,-0.12,2,1
7.0,8.19,7.1,0,10,4,3,0.74,1,1
6.94,6.84,9.43,1,8,6,3,0.1,7,1
7.06,9.96,6.1,0,7,1,2,0.91,7,1
9.67,9.11,6.52,1,8,9,2,-0.37,10,1
7.36,9.22,6.21,0,3,4,2,-0.15,5,0
9.47,9.71,7.68,0,6,1,3,-0.46,10,1
9.79,9.13,7.25,0,10,4,2,0.3,8,1
8.2,6.2,7.7,1,1,1,4,0.9,4,1
7.8,7.35,9.48,1,7,10,5,0.64,3,1
8.21,6.87,6.83,0,5,7,4,0.6,4,1
7.63,6.5,6.69,0,6,4,5,0.7,6,1
9.58,7.19,6.92,0,3,6,4,0.74,9,1
8.18,6.42,6.18,0,7,5,2,0.98,10,1
6.47,6.68,7.41,1,3,9,5,-0.07,5,1
9.07,7.74,7.79,0,2,8,1,0.47,7,0
9.29,8.22,9.12,0,10,2,4,0.83,1,1
8.61,9.12,9.17,0,10,8,4,-0.31,8,1
7.3,8.64,8.61,0,5,6,5,0.77,9,1
9.99,6.73,8.38,0,8,9,4,0.43,9,1
8.19,6.7,7.18,1,9,2,5,0.39,4,1
8.26,8.0,6.28,1,5,2,2,0.11,8,1
9.98,8.42,7.23,0,4,4,2,-0.12,5,1
8.65,8.53,8.37,1,6,1,5,-0.31,1,1
7.61,8.92,9.12,0,1,5,3,-0.12,6,1
6.37,9.26,9.58,0,4,3,5,-0.37,9,1
9.96,6.9,7.56,0,1,4,4,-0.23,6,0
7.78,8.13,9.49,1,3,4,3,-0.01,1,1
8.73,7.26,6.53,0,3,3,5,0.54,4,1
9.01,9.49,8.0,0,6,9,4,0.43,6,1
8.2,8.09,7.13,0,7,9,4,0.75,3,1
8.34,8.18,6.93,1,10,10,3,0.28,3,1
7.23,8.45,9.59,0,8,8,3,0.84,7,1
8.56,7.86,6.76,0,10,6,4,0.87,5,1
9.07,8.81,7.33,1,6,4,3,0.51,10,1
7.65,9.74,7.0,0,7,2,4,0.02,9,1
8.02,6.65,8.63,0,1,3,4,-0.33,8,1
9.94,6.0,8.46,0,5,6,4,0.18,9,1
9.82,6.61,7.91,0,7,2,3,-0.31,5,1
8.7,6.15,8.48,0,6,10,4,0.39,9,1
8.12,8.71,8.37,0,9,2,4,-0.28,4,1
8.46,8.09,7.28,0,7,9,4,-0.03,2,1
9.13,7.11,9.76,1,1,10,2,-0.23,6,1
8.41,9.21,7.88,1,2,5,1,-0.28,6,0
9.5,6.05,6.91,0,5,2,4,-0.33,2,1
8.4,9.61,7.53,1,5,10,1,-0.2,4,1
8.01,6.27,6.87,0,6,10,1,-0.48,7,0
8.42,6.88,8.5,1,9,10,5,0.74,5,1
6.91,8.67,6.32,0,3,3,2,0.08,6,0
7.54,9.42,9.81,0,3,8,2,0.26,5,1
8.08,9.98,6.81,0,5,9,2,0.31,5,1
7.8,7.32,8.36,0,8,8,1,-0.25,1,1
8.72,6.66,6.24,0,6,5,3,0.89,2,1
8.69,6.68,6.22,0,8,9,4,-0.47,9,1
7.26,7.57,6.95,1,9,4,2,0.52,7,1
6.45,7.33,9.13,1,2,9,3,-0.01,10,1
6.9,7.6,7.64,0,7,6,3,0.6,1,1
9.33,9.22,9.47,1,1,5,2,0.48,8,1
8.08,9.99,6.54,1,3,8,4,0.36,10,1
9.63,9.97,6.83,1,7,3,3,0.38,2,1
7.89,8.21,8.28,1,2,8,3,-0.12,7,1
9.12,8.26,7.04,0,9,5,5,-0.21,8,1
6.53,7.05,7.68,0,1,9,2,-0.49,6,0
9.63,6.97,6.37,0,2,8,3,0.21,8,0
7.01,8.57,7.1,0,1,2,1,0.44,7,0
7.72,9.0,9.65,0,1,10,3,-0.23,8,1
8.22,8.35,7.71,1,9,7,2,0.57,2,1
7.13,7.6,9.25,0,4,8,1,-0.06,1,0
8.26,8.65,8.72,1,4,10,5,-0.07,8,1
8.55,7.28,6.23,0,5,3,5,0.79,8,1
9.65,6.16,8.05,0,6,8,4,0.96,7,1
6.33,7.54,7.5,0,5,7,1,-0.01,7,1
8.92,8.3,6.83,0,6,3,2,-0.19,4,1
